facility_id,facility_name,google_lat,google_long,price_level,rating,total_ratings,avg_inspection_score,avg_violations_count,city,siteAddress
FA0000009,AMERICAN LEGION BOULDER POST 10,40.0605914,-105.2735952,2,4.9,15,36.0,2.5,BOULDER,4760 N 28TH AVE
FA0000010,MOXIE BREAD COMPANY,39.9767175,-105.1323027,2,4.7,937,12.75,5.333333333333333,LOUISVILLE,641 MAIN ST
FA0000011,ABOS PIZZA,40.1007395,-105.1681252,1,4.3,119,37.85714285714285,3.5,NIWOT,7960 NIWOT RD UNIT B5
FA0000015,MT EVEREST CUISINE,39.9980269,-105.2328968,1,4.7,232,43.42857142857143,4.666666666666667,BOULDER,4800 BASELINE RD UNIT A107
FA0000017,UNDER THE SUN EATERY & TAPHOUSE,39.7051972,-104.987561,2,4.3,109,25.0,2.0,BOULDER,627 S BROADWAY ST UNIT A
FA0000018,DISH GOURMET,40.0197052,-105.2701856,2,4.7,150,65.0,3.0,BOULDER,1918 PEARL ST STE 100
FA0000021,ROCKY MOUNTAIN PATHWAY RANCH,40.1934368,-105.5112163,2,4.9,22,10.0,1.0,ALLENSPARK,15747 HWY 7
FA0000024,ABOS PIZZA SOUTH,39.7050752,-104.9875752,2,3.5,143,41.66666666666666,3.75,BOULDER,637 S BROADWAY ST UNIT S
FA0000025,ABOS PIZZA NORTH,40.0375466,-105.2593606,1,4.3,232,29.454545454545453,3.0,BOULDER,2761 IRIS AVE
FA0000026,ABOS PIZZA,39.98799899999999,-105.1255301,2,3.5,143,23.77777777777778,4.5,LOUISVILLE,1355 SOUTH BOULDER RD C2
FA0000030,ARBYS #5009030,40.1979179,-105.1019365,1,3.8,808,18.5,2.5,LONGMONT,2150 N MAIN ST
FA0000031,WENDYS 11318,39.9994306,-105.2626773,1,3.7,622,8.333333333333334,1.0,BOULDER,2420 BASELINE RD
FA0000033,IHOP 1836,40.016358,-105.2589347,1,3.7,1210,40.333333333333336,2.5,BOULDER,1675 28TH ST
FA0000038,HOLY CREPE,40.0139508,-105.2782063,2,4.9,69,40.82608695652174,7.666666666666667,BOULDER,1650 BROADWAY ST
FA0000056,MOJO TAQUERIA,40.22345670000001,-105.2656871,2,4.5,569,10.0,2.0,LYONS,216 E MAIN ST
FA0000057,AUNT ALICES KITCHEN,40.1910351,-105.1030099,1,4.4,2079,30.63636363636364,3.6666666666666665,LONGMONT,1805 N MAIN ST
FA0000061,MOES BROADWAY BAGEL,40.034001,-105.2591438,1,4.4,387,23.33333333333333,2.5,BOULDER,3267 28TH ST
FA0000063,BREWING MARKET,40.1403455,-105.1304567,2,4.5,388,33.0,2.5,LONGMONT,1520 S HOVER ST STE A
FA0000064,BREWING MARKET,40.0123075,-105.1322456,2,4.2,295,25.727272727272727,3.5,LAFAYETTE,2770 DAGNY WY UNIT A101
FA0000067,BUFF RESTAURANT THE,40.0171304,-105.2602235,2,4.6,2491,50.93333333333333,5.0,BOULDER,2600 CANYON BLVD
FA0000075,TRES GRINGOS CANTINA,39.9598234,-105.5094306,2,4.5,171,27.0,2.0,NEDERLAND,20 LAKEVIEW DR
FA0000079,MUDROCKS TAP AND TAVERN,39.9878512,-105.1363573,2,4.2,662,49.91666666666666,6.0,LOUISVILLE,585 E SOUTH BOULDER RD
FA0000084,BLUE AGAVE,40.1441702,-105.1279513,2,4.1,684,46.0,4.0,LONGMONT,2030 KEN PRATT BLVD
FA0000086,BAO ASIAN FUSION AND SUSHI,39.9617031,-105.1636797,2,4.3,470,21.53846153846154,4.0,LOUISVILLE,594 S MCCASLIN BLVD
FA0000088,TILT,39.9766071,-105.1318801,2,4.5,59,93.75,8.0,LOUISVILLE,640 MAIN ST UNIT B
FA0000089,MAMA MEADS PIZZERIA,40.1742576,-105.1033641,2,4.3,275,49.56521739130435,5.75,LONGMONT,900 COFFMAN ST UNIT B
FA0000092,GEMINI,40.017885,-105.2808233,2,4.7,50,33.75,2.5,BOULDER,1115 PEARL ST
FA0000093,BOULDER MARRIOTT,40.0161241,-105.2601208,2,4.2,698,56.0,6.0,BOULDER,2660 CANYON BLVD
FA0000095,BOULDERS DINNER THEATRE,40.0148045,-105.213055,2,4.7,982,50.0,4.0,BOULDER,5501 ARAPAHOE RD
FA0000098,BLACKJACK PIZZA AND SALADS,40.0206928,-105.2531625,1,3.7,192,43.38461538461539,4.333333333333333,BOULDER,3023 WALNUT ST
FA0000100,CUPPA HOUSE COFFEE & TEA,40.1779437,-105.1160281,0,4.7,134,42.85714285714285,4.666666666666667,LONGMONT,1102 FRANCIS ST
FA0000105,ARABESQUE,40.0180096,-105.2734688,2,4.3,172,58.75,2.6666666666666665,BOULDER,1634 WALNUT ST STE 101
FA0000106,BEN AND JERRYS,40.0179937,-105.2798279,2,4.3,345,29.571428571428573,3.5,BOULDER,1203 PEARL ST
FA0000108,MONO MONO KFC,40.0034456,-105.1016396,2,4.6,266,20.625,2.0,LAFAYETTE,599 CROSSING DR
FA0000109,BURGER KING 414,40.0186492,-105.257652,1,3.0,612,29.166666666666668,2.0,BOULDER,1770 28TH ST
FA0000110,BURGER KING #4690,40.1445969,-105.1272432,1,3.5,324,13.4,1.5,LONGMONT,2020 KEN PRATT BLVD
FA0000112,BURGER KING 7062,40.0712081,-105.2016325,1,3.0,276,5.0,1.0,BOULDER,5320 SPINE RD
FA0000113,BURGER KING 7367,39.987409,-105.1273117,1,2.8,404,19.7,2.6666666666666665,LOUISVILLE,1325 E SOUTH BOULDER RD
FA0000115,BURGER KING #7885,40.1941401,-105.1018452,1,3.1,625,10.0,1.0,LONGMONT,2000 N MAIN ST
FA0000123,LUNA CAFE THE,40.1725449,-105.1034895,1,4.3,313,37.0,2.5,LONGMONT,800 COFFMAN ST
FA0000124,ASTRO COFFEE BAR,40.0185643,-105.2800076,1,4.6,58,29.53846153846154,4.333333333333333,BOULDER,2052 BROADWAY ST
FA0000127,BPOE LODGE 566,40.046821,-105.2615676,2,4.0,48,10.25,2.0,Boulder,3975 28TH ST
FA0000130,GURKHAS ON THE HILL,40.0071181,-105.2759597,2,4.3,92,27.5,2.0,BOULDER,1310 COLLEGE AVE UNIT 230
FA0000132,BOBS SANDWICH SHOP,39.9783333,-105.132,1,4.6,394,46.42857142857143,4.666666666666667,LOUISVILLE,820 MAIN ST UNIT 100
FA0000133,CAPITAL ONE CAFE,40.0182807,-105.2789394,1,4.0,71,33.2,2.5,BOULDER,1247 PEARL ST
FA0000135,BOULDER CORK THE,40.0344665,-105.2540941,3,4.5,864,25.0,3.0,BOULDER,3295 30TH ST
FA0000139,SFORNO TRATTORIA,40.01797579999999,-105.2782481,2,4.1,456,14.4,7.5,BOULDER,1308 PEARL ST
FA0000140,WEST SIDE TAVERN,40.1666013,-105.1155487,2,4.8,485,87.95454545454545,11.0,LONGMONT,1283 3RD AVE
FA0000147,CANNON MINE COFFEE,39.99641680000001,-105.090221,1,4.5,379,20.764705882352946,4.25,LAFAYETTE,210 S PUBLIC RD
FA0000150,CANYON CAFE,40.0143562,-105.2887003,2,4.6,15,18.33333333333333,1.5,BOULDER,1777 6TH ST
